Name,phone,Address,Time
 ARTISTIQUE AESTHETIC CLINIC,T.  65183169 65183169 F.  67581374,1 MARITIME SQUARE HARBOURFRONT CENTRE #02-108 Singapore 099253,Please call the clinic for operating hours
 DA CLINIC @ BISHAN,T.  31650140 31650140 F.   69541012,BLK 501 BISHAN STREET 11 #01-374 Singapore 570501,"Monday to Friday : 08:30 am to 04:30 pm, 06:00 pm to 09:00 pmSaturday : 08:30 am to 12:00 pmSunday and Public Holiday : 08:30 am to 12:00 pm"
 ICON CANCER CENTRE GLENEAGLES ,T.  64713373 64713373 F.  64711062,6 NAPIER ROAD GLENEAGLES MEDICAL CENTRE #05-15 Singapore 258499,Please call the clinic for operating hours
 LEROY MCCULLY AND ASSOCIATES PTE LTD,T.  66940100 66940100 F.  65700580,38 IRRAWADDY ROAD MOUNT ELIZABETH NOVENA SPECIALIST CENTRE #11-43/44/45/46 Singapore 329563,24 Hour
 PACIFIC ADVANCE RENAL CARE (CHOA CHU KANG),T.  68930617 68930617 F.  67354598,BLK 488B CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS #01-145 Singapore 682488,Please call the clinic for operating hours
 SHANG DENTAL (KALLANG),T.  64433443 64433443 F.  64433443,BLK 71 KALLANG BAHRU #01-531F Singapore 330071,Please call the clinic for operating hours
 SINGHEALTH POLYCLINICS ,T.  66436969 66436969 F.  67833132,1 TAMPINES STREET 41 TAMPINES POLYCLINIC Singapore 529203,"Monday to Friday : 08:00 am to 01:00 pm, 02:00 pm to 04:30 pmSaturday : 08:00 am to 12:30 pmSunday and Public Holiday : Closed"
1 ALJUNIED MEDICAL,F.  62861923,389 UPPER ALJUNIED ROAD MACPHERSON GARDEN ESTATE Singapore 367874,Please call the clinic for operating hours
1 BISHAN MEDICAL,F.  0,BLK 283 BISHAN STREET 22 #01-191 Singapore 570283,Please call the clinic for operating hours
1 MEDICAL TECK GHEE,T.  62517030 62517030 F.  62517031,BLK 410 ANG MO KIO AVENUE 10 TECK GHEE SQUARE #01-837 Singapore 560410,"Monday to Sunday : 07:00 am to 01:00 pm, 06:00 pm to 11:00 pm"
115 EASTPOINT CLINIC & SURGERY,T.  64410180 64410180 F.  00000000,BLK 115 BEDOK NORTH RD #01-301 Singapore 460115,"Eve of Chinese New Year (24/01/2020) : 09:00 am to 12:30 pmMonday to Friday : 09:30 am to 12:30 pm, 02:30 pm to 04:00 pm, 07:00 pm to 08:30 pm"
1728 DENTAL PRACTICE,F.  87641728,BLK 205 BEDOK NORTH STREET 1 #01-389 Singapore 460205,Please call the clinic for operating hours
1728 DENTAL PRACTICE (ANG MO KIO) ,T.  96311728 96311728 F.  69048567,BLK 704 ANG MO KIO AVENUE 8 #01-2559 Singapore 560704,Monday to Friday : 09:00 am to 09:00 pmSaturday : 09:00 am to 05:00 pmSunday and Public Holiday : Closed
1728 DENTAL PRACTICE (JURONG),T.  97701728 97701728 F.  69048567,BLK 135 JURONG GATEWAY ROAD #01-319 Singapore 600135,Please call the clinic for operating hours
1728 DENTAL PRACTICE (TAMPINES) PTE LTD,T.  97251728 97251728 F.  65099939,BLK 201E TAMPINES STREET 23 #01-60 Singapore 527201,Monday to Friday : 09:00 am to 09:00 pmSaturday : 09:00 am to 05:00 pmSunday and Public Holiday : Closed
18 CLINIC,T.  62999750 62999750 F.  62990732,BLK 101 TOWNER ROAD #01-228 Singapore 322101,"Eve of Chinese New Year (24/01/2020) : 08:30 am to 12:00 pmChinese New Year (27/01/2020) : 09:00 am to 12:00 pmMonday to Thursday : 08:30 am to 12:00 pm, 01:30 pm to 04:00 pm, 06:00 pm to 09:00 pmFriday : 08:30 am to 12:05 pm, 01:30 pm to 04:00 pmSaturday : ClosedSunday : 09:00 am to 01:00 pm"
"1AESTHETICS, MEDICAL & SURGERY",T.  66125173 66125173 F.  66125173,8 EU TONG SEN STREET THE CENTRAL #14-90 Singapore 059818,Public Holiday to Public Holiday : 11:00 am to 08:00 pmMonday to Saturday : 11:00 am to 08:00 pmSunday to Sunday : Closed
1DOC MEDICAL CENTRE,T.  64819793 64819793 F.  64819796,51 CHANGI BUSINESS PARK CENTRAL 2 THE SIGNATURE #02-02 Singapore 486066,Please call the clinic for operating hours
216 PROCROSS MEDICAL CLINIC,F.  67022840,BLK 216 BOON LAY AVENUE MULTI STOREY CAR PARK #01-03 Singapore 640216,Please call the clinic for operating hours
3 DENTAL PRACTICE (TAMPINES),F.  91001974,BLK 139 TAMPINES STREET 11 #01-62 Singapore 521139,Please call the clinic for operating hours
326 AVENUE 3 CLINIC,T.  62801567 62801567 F.  63827044,BLK 326 SERANGOON AVE 3 #01-382 Singapore 550326,"Eve of Chinese New Year (15/02/2018) : ClosedChinese New Year (16/02/2018) : ClosedChinese New Year (17/02/2018) : ClosedChinese New Year (18/02/2018) : ClosedMonday to Friday : 08:30 am to 12:00 pm, 01:00 pm to 03:30 pm, 06:30 pm to 09:00 pmSaturday and Sunday : 08:30 am to 12:00 pm, 06:30 pm to 09:00 pm"
338 FAMILY CLINIC,T.  64549408 64549408 F.  64549409,BLK 338 ANG MO KIO AVE 1 #01-1615 Singapore 560338,"Monday to Thursday : 08:30 am to 12:30 pm, 02:00 pm to 04:30 pm, 07:00 pm to 09:00 pm"
405 PROCROSS MEDICAL CLINIC,F.  67022840,BLK 405 JURONG WEST STREET 42 HONG KAH COURT #01-K1 Singapore 640405,Please call the clinic for operating hours
411 PROCROSS MEDICAL CLINIC,F.  67022840,BLK 411 JURONG WEST STREET 42 #01-K1 Singapore 640411,Please call the clinic for operating hours
57 MEDICAL CLINIC (GEYLANG BAHRU),T.  66947078 66947078 F.  91525375,BLK 57 GEYLANG BAHRU #01-3505 Singapore 330057,Monday and Wednesday : 06:00 pm to 09:00 pmMonday to Saturday : 08:00 am to 01:00 pmFriday : 06:00 pm to 09:00 pmSunday : 09:00 am to 12:00 pm
57 MEDICAL CLINIC (PARKWAY CENTRE),T.  62149612 62149612 F.  91525375,1 MARINE PARADE CENTRAL PARKWAY CENTRE #02-05 Singapore 449408,Public Holiday : ClosedMonday and Wednesday : 06:00 pm to 09:00 pmMonday to Saturday : 08:00 am to 01:00 pmThursday : 06:00 pm to 09:00 pmSunday : 09:00 am to 12:00 pm
57 MEDICAL CLINIC (YISHUN),T.  62353490 62353490 F.  66947025,BLK 618 YISHUN RING ROAD #01-3238 Singapore 760618,Public Holiday : 09:00 am to 12:00 pmMonday and Wednesday : 06:00 pm to 09:00 pmMonday to Saturday : 08:00 am to 01:00 pmThursday : 06:00 pm to 09:00 pmSunday : 09:00 am to 12:00 pm
6-10 CLINIC,T.  62837998 62837998 F.  62837998,777 UPPER SERANGOON ROAD SAI HO BUILDING #01-05 Singapore 534645,Please call the clinic for operating hours
8  MEDICAL AESTHETIC CLINIC,T.  63333308 63333308 F.  31575062,2 HANDY ROAD THE CATHAY #04-18 Singapore 229233,Please call the clinic for operating hours
8 MEDICAL AESTHETIC CLINIC,T.  67336389 67336389 F.  31575062,51 CUPPAGE ROAD #01-03 Singapore 229469,Please call the clinic for operating hours
